NUMBER	ENGLISH	SEMANTIC_FIELD	CONCEPTICON_ID	CONCEPTICON_GLOSS							
247	GRATE (SOMETHING)	BASIC_ACTIONS_AND_TECHNOLOGY	3114	GRATE (SOMETHING)							
248	GRAVE	THE_BODY	1773	GRAVE							
249	GREEN	SENSE_PERCEPTION	1425	GREEN							
250	GROUND	THE_PHYSICAL_WORLD	2159	GROUND							
251	GROVE										
252	GROW	SPATIAL_RELATIONS	479	GROW							
253	GROWL	ANIMALS	3679	GROWL							
254	GUAN	ANIMALS	437	GUAN							
255	GUAVA	AGRICULTURE_AND_VEGETATION									
256	HAIR	THE_BODY	1040	HAIR							
257	HAMMOCK	THE_HOUSE	2019	HAMMOCK							
258	HAND	THE_BODY	1277	HAND							
259	HAPPY	EMOTIONS_AND_VALUES	1495	HAPPY							
260	HARD	SENSE_PERCEPTION	1884	HARD							
261	HATE	EMOTIONS_AND_VALUES	1607	HATE							
262	HAVE	POSSESSION	773	HAVE							
263	COPULATE	THE_BODY	549	COPULATE							
264	HAWK	ANIMALS	307	HAWK							
265	HE	KINSHIP	1211	HE							
266	HEAD	THE_BODY	1256	HEAD							
267	HEAR	SENSE_PERCEPTION	1408	HEAR							
268	HEART	THE_BODY	1223	HEART							
269	HEART OF PALM										
270	HEAVY	SENSE_PERCEPTION	1210	HEAVY							
271	HERE	MISCELLANEOUS_FUNCTION_WORDS	136	HERE							
272	HERON	ANIMALS	758	HERON							
273	HICCOUGH	THE_BODY	162	HICCOUGH							
274	HIDE	SPATIAL_RELATIONS	2486	HIDE							
275	HIGH OR TALL	SPATIAL_RELATIONS	2790	HIGH OR TALL							
276	HOLD OR TAKE	BASIC_ACTIONS_AND_TECHNOLOGY	2104	HOLD OR TAKE							
277	HOLE	SPATIAL_RELATIONS	1667	HOLE							
278	HOME	THE_HOUSE	2406	HOME							
279	HOOK	WARFARE_AND_HUNTING	1071	HOOK							
280	HOPLIAS (GENUS)	ANIMALS									
281	HOPLIAS (Hoplias malabaricus)										
282	HOPLIAS (sp.)										
283	HORN (ANATOMY)	THE_BODY	1393	HORN (ANATOMY)							
284	HORNED SCREAMER (BIRD)										
285	HORSEFLY	ANIMALS	3262	HORSEFLY							
286	HOT	SENSE_PERCEPTION	1286	HOT							
287	HOUSE	THE_HOUSE	1252	HOUSE							
288	HOUSE GIRDER										
289	HOWLER MONKEY	ANIMALS	433	HOWLER MONKEY							
290	HUNGER	FOOD_AND_DRINK	1864	HUNGER							
291	HUNT	WARFARE_AND_HUNTING	1435	HUNT							
292	HUSBAND	KINSHIP	1200	HUSBAND							
293	I	KINSHIP	1209	I							
294	ICE	THE_PHYSICAL_WORLD	617	ICE							
295	IF	COGNITION	1459	IF							
296	IMBAUBA										
297	IMITATE	COGNITION	117	IMITATE							
298	IN FRONT OF	SPATIAL_RELATIONS	1883	IN FRONT OF							
299	INDIGENOUS PEOPLES OF THE AMERICAS	SOCIAL_AND_POLITICAL_RELATIONS	3612	INDIGENOUS PEOPLES OF THE AMERICAS							
300	INGA (genus)	AGRICULTURE_AND_VEGETATION	3934	INGA (genus)							
301	INSECT	ANIMALS	620	INSECT							
302	INSIDE	SPATIAL_RELATIONS	1606	INSIDE							
303	INTESTINES	THE_BODY	1991	INTESTINES							
304	ISLAND	THE_PHYSICAL_WORLD	622	ISLAND							
305	JACKFRUIT	AGRICULTURE_AND_VEGETATION	2655	JACKFRUIT							
306	JAGUAR	ANIMALS	1250	JAGUAR							
307	JUMP	MOTION	1829	JUMP							
308	KAPOK CEIBE TREE	AGRICULTURE_AND_VEGETATION									
309	KICK	MOTION	1135	KICK							
310	KILL	THE_BODY	1417	KILL							
311	KINGFISHER	ANIMALS	2444	KINGFISHER							
312	KINKAJOU										
313	KNEE	THE_BODY	1371	KNEE							
314	KNIFE	FOOD_AND_DRINK	1352	KNIFE							
315	KNIFE	BASIC_ACTIONS_AND_TECHNOLOGY	1352	KNIFE							
316	KNOW	COGNITION	3626	KNOW							
317	LAKE	THE_PHYSICAL_WORLD	624	LAKE							
318	LARGE BASKET										
319	LARGE CATFISH	ANIMALS									
320	LARGE-BULLET-ANT (subfamily paraponerinae)	ANIMALS									
321	LARVA	ANIMALS	2640	LARVA							
322	LATE	TIME	477	LATE							
323	LAUGH	EMOTIONS_AND_VALUES	1355	LAUGH							
324	LEAF	AGRICULTURE_AND_VEGETATION	628	LEAF							
325	LEAF BUNDLE										
326	LEAF SPINE	AGRICULTURE_AND_VEGETATION	2803	LEAF SPINE							
327	LEECH	ANIMALS	2273	LEECH							
328	LEG	THE_BODY	1297	LEG							
329	LET GO OR SET FREE	POSSESSION	1095	LET GO OR SET FREE							
330	LET'S GO										
331	LIANA	AGRICULTURE_AND_VEGETATION	2388	LIANA							
332	LIE (FALSEHOOD)	EMOTIONS_AND_VALUES	2826	LIE (FALSEHOOD)							
333	LIE (REST)	SPATIAL_RELATIONS	1411	LIE (REST)							
334	LIGHT										
335	LIGHT (IGNITE)	THE_PHYSICAL_WORLD	737	LIGHT (IGNITE)							
336	LIGHT (RADIATION)	THE_PHYSICAL_WORLD	630	LIGHT (RADIATION)							
337	LIGHTNING	THE_PHYSICAL_WORLD	1654	LIGHTNING							
338	LIKE	EMOTIONS_AND_VALUES	1117	LIKE							
339	LIMP	MOTION	366	LIMP							
340	LIP	THE_BODY	478	LIP							
341	LIVER	THE_BODY	1224	LIVER							
342	LIZARD	ANIMALS	632	LIZARD							
343	LONG	SPATIAL_RELATIONS	1203	LONG							
344	LOOK AT										
345	LOUSE	ANIMALS	1392	LOUSE							
346	LOW	SPATIAL_RELATIONS	721	LOW							
347	LUBRICATE										
348	LUNG	THE_BODY	688	LUNG							
349	LUNG FISH	ANIMALS									
350	MACAW	ANIMALS	1630	MACAW							
351	MAIZE	AGRICULTURE_AND_VEGETATION	506	MAIZE							
352	MAN	KINSHIP	1554	MAN							
353	MANATEE										
354	MANDI										
355	MANIOC	AGRICULTURE_AND_VEGETATION	927	MANIOC							
356	MANY	QUANTITY	1198	MANY							
357	MARK										
358	MARMOSET										
359	MASTER	SOCIAL_AND_POLITICAL_RELATIONS	383	MASTER							
360	MATERNAL AUNT (MOTHER'S SISTER)	KINSHIP	2693	MATERNAL AUNT (MOTHER'S SISTER)							
361	MATERNAL UNCLE (MOTHER'S BROTHER)	KINSHIP	2692	MATERNAL UNCLE (MOTHER'S BROTHER)							
362	MEASURE	SPATIAL_RELATIONS	1506	MEASURE							
363	MEDICINE	THE_BODY	1372	MEDICINE							
364	MEDICINE OF										
365	MEET	SOCIAL_AND_POLITICAL_RELATIONS	1831	MEET							
366	MESSAGE	SPEECH_AND_LANGUAGE	2961	MESSAGE							
367	MIDDLE	SPATIAL_RELATIONS	1093	MIDDLE							
368	MILK	FOOD_AND_DRINK	635	MILK							
369	MIRROR	CLOTHING_AND_GROOMING	1171	MIRROR							
370	MIX	FOOD_AND_DRINK	2017	MIX							
371	MOAN										
372	MONKEY	ANIMALS	1350	MONKEY							
373	MONTH	TIME	1370	MONTH							
374	MOON	THE_PHYSICAL_WORLD	1313	MOON							
375	MORTAR	FOOD_AND_DRINK	224	MORTAR							
376	MOSQUITO	ANIMALS	1509	MOSQUITO							
377	MOT-MOT (BIRD)	ANIMALS									
378	MOTH	ANIMALS	2828	MOTH							
379	MOTHER	KINSHIP	1216	MOTHER							
380	MOUNTAIN OR HILL	THE_PHYSICAL_WORLD	2118	MOUNTAIN OR HILL							
381	MOUTH	THE_BODY	674	MOUTH							
382	MOVE AWAY	BASIC_ACTIONS_AND_TECHNOLOGY	229	MOVE AWAY							
383	MUD	THE_PHYSICAL_WORLD	640	MUD							
384	MUD HOLE										
385	NAKED	THE_BODY	590	NAKED							
386	NAME	SPEECH_AND_LANGUAGE	1405	NAME							
387	NAVEL	THE_BODY	1838	NAVEL							
388	NEAR	SPATIAL_RELATIONS	1942	NEAR							
389	NECK	THE_BODY	1333	NECK							
390	NECKLACE	CLOTHING_AND_GROOMING	1961	NECKLACE							
391	NERVE	THE_BODY	2626	NERVE							
392	NET	BASIC_ACTIONS_AND_TECHNOLOGY	2963	NET							
393	NEW	TIME	1231	NEW							
394	NIGHT	TIME	1233	NIGHT							
395	NIGHT MONKEY	ANIMALS									
396	NIGHTHAWK										
397	NOSE	THE_BODY	1221	NOSE							
398	NOW	TIME	1376	NOW							
399	OAR	BASIC_ACTIONS_AND_TECHNOLOGY	3137	OAR							
400	ODOR (SMELL)	SENSE_PERCEPTION	3704	ODOR (SMELL)							
401	OLD	TIME	1229	OLD							
402	OLDER BROTHER	KINSHIP	1759	OLDER BROTHER							
403	OLDER BROTHER (OF WOMAN)	KINSHIP	2415	OLDER BROTHER (OF WOMAN)							
404	OLDER SISTER	KINSHIP	1758	OLDER SISTER							
405	OLINGO (genus Bassaricyon)										
406	ONE	QUANTITY	1493	ONE							
407	OPEN	SPATIAL_RELATIONS	1156	OPEN							
408	OPOSSUM	ANIMALS	309	OPOSSUM							
409	ORDER	BASIC_ACTIONS_AND_TECHNOLOGY	1128	ORDER							
410	ORIOLE										
411	OTTER	ANIMALS	15	OTTER							
412	OWL	ANIMALS	735	OWL							
413	OWNER	POSSESSION	1036	OWNER							
414	PACA	ANIMALS	316	PACA							
415	PACU	ANIMALS	3922	PACU							
416	PADDLE	BASIC_ACTIONS_AND_TECHNOLOGY	234	PADDLE							
417	PAIN	EMOTIONS_AND_VALUES	1783	PAIN							
418	PAJURÁ	AGRICULTURE_AND_VEGETATION									
419	PALM SPECIES WITH THORNS	AGRICULTURE_AND_VEGETATION									
420	PALM TREE	AGRICULTURE_AND_VEGETATION	1181	PALM TREE							
421	PAN	FOOD_AND_DRINK	31	PAN							
422	PAPAYA	FOOD_AND_DRINK	2445	PAPAYA							
423	PARROT	ANIMALS	882	PARROT							
424	PASS										
425	PASSION FRUIT										
426	PATAUÁ PALM	AGRICULTURE_AND_VEGETATION									
427	PATERNAL AUNT (FATHER'S SISTER)	KINSHIP	2691	PATERNAL AUNT (FATHER'S SISTER)							
428	PATERNAL UNCLE (FATHER'S BROTHER)	KINSHIP	1985	PATERNAL UNCLE (FATHER'S BROTHER)							
429	PATH OR ROAD	MOTION	2457	PATH OR ROAD							
430	PATTERN	THE_PHYSICAL_WORLD	2988	PATTERN							
431	PAU-MULATO										
432	PAXIUBA										
433	PAXIUBA (genus Irartea)										
434	PAXIUBA-BARRIGUDA										
435	PEACH PALM	AGRICULTURE_AND_VEGETATION	3919	PEACH PALM							
436	PECCARY	ANIMALS	2390	PECCARY							
437	PEEL	FOOD_AND_DRINK	275	PEEL							
438	PENIS	THE_BODY	1222	PENIS							
439	PEPPER	FOOD_AND_DRINK	1385	PEPPER							
440	PERSPIRE OR SWEAT	THE_BODY	2458	PERSPIRE OR SWEAT							
441	PESTLE	FOOD_AND_DRINK	225	PESTLE							
442	PIAU										
443	PICK										
444	PICK UP	SPATIAL_RELATIONS	371	PICK UP							
445	PIECE	QUANTITY	594	PIECE							
446	PIED-CRESTED OROPENDOLA										
447	PIERCE	BASIC_ACTIONS_AND_TECHNOLOGY	398	PIERCE							
448	PINEAPPLE	AGRICULTURE_AND_VEGETATION	2440	PINEAPPLE							
449	PIRANHA	ANIMALS	317	PIRANHA							
450	PIRARUCU										
451	PISS	THE_BODY	592	PISS							
452	PIUM (simuliidae)	ANIMALS	3937	PIUM (simuliidae)							
453	PLACE (POSITION)	SPATIAL_RELATIONS	723	PLACE (POSITION)							
454	PLAY	EMOTIONS_AND_VALUES	1413	PLAY							
455	POISON	THE_BODY	655	POISON							
456	POLISH (SOMETHING)	BASIC_ACTIONS_AND_TECHNOLOGY	3659	POLISH (SOMETHING)							
457	POND	THE_PHYSICAL_WORLD	2035	POND							
458	PORCUPINE	ANIMALS	2510	PORCUPINE							
459	POT	FOOD_AND_DRINK	1462	POT							
460	POUND TO FLATTEN										
461	PRECIOUS	EMOTIONS_AND_VALUES	3002	PRECIOUS							
462	PREGNANT	THE_BODY	1123	PREGNANT							
463	PRETEND	COGNITION	3631	PRETEND							
464	PRICE	POSSESSION	657	PRICE							
465	PROCREATE										
466	PULL	BASIC_ACTIONS_AND_TECHNOLOGY	1455	PULL							
467	PULL OFF (SKIN)	BASIC_ACTIONS_AND_TECHNOLOGY	291	PULL OFF (SKIN)							
468	PULL OUT	BASIC_ACTIONS_AND_TECHNOLOGY	2325	PULL OUT							
469	PULL UP										
470	PUMA	ANIMALS	1891	PUMA							
