ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	ALIGNMENT	COGID	COGIDS	MORPHEMES	COGNACY	BORROWING	NOTE	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	TURCHINID	EDITID	SCAID	INFOMAP	LEXSTATID	COGNATES
1319	Kulina	FATHER	abi	abi	a b i	- a b i - -	1	1	FATHER				7 1 7	XBZ	API	6	6.A.V 6.P.C 6.I.V	1.5 1.75 0.8	abi	0	530	495	443	286	471	443
1654	Paumari	FATHER	biʔi	biʔi	b i ʔ i	- - b i ʔ i	1	1	FATHER				1 7 1 7	AXBZ	PIHI	7	7.P.C 7.I.V 7.H.C 7.I.V	2.0 1.5 1.75 0.8	biʔi	0	536	501	449	286	471	449
1858	Sorowaha	FATHER	abi / ahadi	abi	a b i	- a b i - -	1	1	FATHER				7 1 7	XBZ	API	8	8.A.V 8.P.C 8.I.V	1.5 1.75 0.8	abi	1	530	495	443	286	471	443
10036	Sorowaha	FATHER	abi / ahadi	ahadi	a h a d i	a h a d i	656	615	FATHER				7 3 7 1 7	XBYBZ	AHATI	8	8.A.V 8.H.C 8.A.V 8.T.C 8.I.V	1.5 1.75 1.3 1.75 0.8	ahadi	0	538	503	451	287	479	451
10202	Deni	FATHER	abi	abi	a b i	a b i	1	1	FATHER				7 1 7	XBZ	API	3	3.A.V 3.P.C 3.I.V	1.5 1.75 0.8	abi	0	530	495	443	286	471	443
10294	Arawa	FATHER	abi	abi	a b i	a b i	1	1	FATHER				7 1 7	XBZ	API	1	1.A.V 1.P.C 1.I.V	1.5 1.75 0.8	abi	0	530	495	443	286	471	443
10089	Sorowaha	FEAR (BE AFRAID)	uhunia	uhunia	u h u n ia	u h u n ia	721	663	FEAR				7 3 7 4 7	XBYBZ	YHYNI	8	8.Y.V 8.H.C 8.Y.V 8.N.C 8.I.V	1.5 1.75 1.3 1.75 0.8	uhunia	0	539	504	452	288	480	452
1657	Paumari	FEATHER	bihi	bihi	b i h i	b i h i	1249	1239	FAN				1 7 3 7	AXBZ	PIHI	7	7.P.C 7.I.V 7.H.C 7.I.V	2.0 1.5 1.75 0.8	bihi	0	543	508	456	291	484	456
10203	Jarawara	FEATHER	eɸe	eɸe	e ɸ e	e ɸ e	789	749	FEATHER				7 3 7	XBZ	EBE	5	5.E.V 5.B.C 5.E.V	1.5 1.75 0.8	eɸe	0	540	505	453	289	481	453
10204	Deni	FEATHER	eɸe / kune	eɸe	e ɸ e	e ɸ e	789	749	FEATHER				7 3 7	XBZ	EBE	3	3.E.V 3.B.C 3.E.V	1.5 1.75 0.8	eɸe	0	540	505	453	289	481	453
10205	Deni	FEATHER	eɸe / kune	kune	k u n e	k u n e	788	748	FEATHER				1 7 4 7	AXBZ	KYNE	3	3.K.C 3.Y.V 3.N.C 3.E.V	2.0 1.5 1.75 0.8	kune	0	544	509	457	292	485	457
10206	Kulina	FEATHER	aɸa	aɸa	a ɸ a	a ɸ a	789	749	FEATHER				7 3 7	XBZ	ABA	6	6.A.V 6.B.C 6.A.V	1.5 1.75 0.8	aɸa	0	540	507	453	290	483	453
10209	Deni	FINGER	zepe	zepe	z e p e	z e p e	790	750	FINGER				3 7 1 7	AXBZ	SEPE	3	3.S.C 3.E.V 3.P.C 3.E.V	2.0 1.5 1.75 0.8	zepe	0	545	510	458	293	486	458
10210	Jarawara	FINGER	jehe	jehe	j e h e	j e h e	791	83	HAND				6 7 3 7	AXBZ	JEHE	5	5.J.C 5.E.V 5.H.C 5.E.V	2.0 1.5 1.75 0.8	jehe	1	546	510	459	293	486	459
10212	Sorowaha	FINGER	bihi	bihi	b i h i	b i h i	793	322	HAND			also means hand and forearm	1 7 3 7	AXBZ	PIHI	8	8.P.C 8.I.V 8.H.C 8.I.V	2.0 1.5 1.75 0.8	bihi	1	549	514	459	295	490	459
10214	Paumari	FINGER	saʔa / dama	dama	d a m a	d a m a	794	751	FINGER				1 7 4 7	AXBZ	TAMA	7	7.T.C 7.A.V 7.M.C 7.A.V	2.0 1.5 1.75 0.8	dama	0	548	513	461	294	489	461
10215	Paumari	FINGER	saʔa / dama	saʔa	s a ʔ a	s a ʔ a	795	752	FINGER				3 7 1 7	AXBZ	SAHA	7	7.S.C 7.A.V 7.H.C 7.A.V	2.0 1.5 1.75 0.8	saʔa	1	550	513	458	296	486	458
10218	Kulina	FINGER	zepe	zepe	z e p e	z e p e	790	750	FINGER				3 7 1 7	AXBZ	SEPE	6	6.S.C 6.E.V 6.P.C 6.E.V	2.0 1.5 1.75 0.8	zepe	0	545	510	458	293	486	458
1322	Kulina	FINGERNAIL	nokotsʰi	nokotsʰi	n o k o tsʰ i	n o k o tsʰ i	1250	685	FINGERNAIL				4 7 1 7 2 7	AXBYBZ	NUKUCI	6	6.N.C 6.U.V 6.K.C 6.U.V 6.C.C 6.I.V	2.0 1.5 1.75 1.3 1.75 0.8	nokotsʰi	0	551	517	462	297	491	462
10208	Deni	FINGERNAIL	nukʰuʃini	nukʰuʃini	n u kʰ u ʃ i n i	n u kʰ u ʃ i n i	1250	685	FINGERNAIL				4 7 1 7 3 7 4 7	AXBYBYBZ	NYKYSINI	3	3.N.C 3.Y.V 3.K.C 3.Y.V 3.S.C 3.I.V 3.N.C 3.I.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	nukʰuʃini	0	551	515	462	297	491	462
10211	Jarawara	FINGERNAIL	jehe atari	jehe atari	j e h e + a t a r i	j e h e + a t a r i	792	83 208	HAND SKIN				6 7 3 7 9 7 1 7 5 7	AXBZ_XBYBZ	JEHE_ATARI	5	5.J.C 5.E.V 5.H.C 5.E.V 5._._ 5.A.V 5.T.C 5.A.V 5.R.C 5.I.V	2.0 1.5 1.75 0.8 0.0 1.5 1.75 1.3 1.75 0.8	jehe+atari	0	552	516	463	298	492	463
10216	Paumari	FINGERNAIL	ʔdamai kanakoʔdini	ʔdamai kanakoʔdini	ʔ d a m ai + k a n a k o ʔ d i n i	ʔ d a m ai + k a n a k o ʔ d i n i	796	752 754	FINGER ?				1 1 7 4 7 9 1 7 4 7 1 7 1 1 7 4 7	ACYBZ_AXBYBYMBYBZ	HTAMA_KANAKUHTINI	7	7.H.C 7.T.C 7.A.V 7.M.C 7.A.V 7._._ 7.K.C 7.A.V 7.N.C 7.A.V 7.K.C 7.U.V 7.H.c 7.T.C 7.I.V 7.N.C 7.I.V	2.0 1.5 1.3 1.75 0.8 0.0 2.0 1.5 1.75 1.3 1.75 1.3 1.1 1.75 1.3 1.75 0.8	ʔdamai+kanakoʔdini	0	554	518	465	299	494	465
10217	Deni	FINGERNAIL	saʔai kanakoʔdini	saʔai kanakoʔdini	s a ʔ ai + k a n a k o ʔ d i n i	s a ʔ ai + k a n a k o ʔ d i n i	796	752 753	FINGER ?				3 7 1 7 9 1 7 4 7 1 7 1 1 7 4 7	AXBZ_AXBYBYMBYBZ	SAHA_KANAKUHTINI	3	3.S.C 3.A.V 3.H.C 3.A.V 3._._ 3.K.C 3.A.V 3.N.C 3.A.V 3.K.C 3.U.V 3.H.c 3.T.C 3.I.V 3.N.C 3.I.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 1.3 1.75 1.3 1.1 1.75 1.3 1.75 0.8	saʔai+kanakoʔdini	0	555	518	465	300	495	465
10045	Sorowaha	FINISH	akuwa	akuwa	a k u w a	a k u w a	665	623	FINISH				7 1 7 6 7	XBYBZ	AKYWA	8	8.A.V 8.K.C 8.Y.V 8.W.C 8.A.V	1.5 1.75 1.3 1.75 0.8	akuwa	0	556	519	466	301	496	466
3	Arawa	FIRE	ʃihú	ʃihú	ʃ i h ú	ʃ i h ú	259	259	FIRE				3 7 3 7	AXBZ	SIHY	1	1.S.C 1.I.V 1.H.C 1.Y.V	2.0 1.5 1.75 0.8	ʃihú	0	557	520	467	302	498	467
65	Banawa	FIRE	jiɸo	jifo	j i f o	j i f o	259	259	FIRE				6 7 3 7	AXBZ	JIBU	2	2.J.C 2.I.V 2.B.C 2.U.V	2.0 1.5 1.75 0.8	jifo	0	558	521	468	302	498	468
340	Deni	FIRE	jipho	jipho	j i pʰ o	j i pʰ o	259	259	FIRE				6 7 1 7	AXBZ	JIPU	3	3.J.C 3.I.V 3.P.C 3.U.V	2.0 1.5 1.75 0.8	jipʰo	0	558	521	468	302	498	468
669	Jamamadi	FIRE	jiɸo	jiɸo	j i ɸ o	j i ɸ o	259	259	FIRE				6 7 3 7	AXBZ	JIBU	4	4.J.C 4.I.V 4.B.C 4.U.V	2.0 1.5 1.75 0.8	jiɸo	0	558	521	468	302	498	468
963	Jarawara	FIRE	jiɸo	jiɸo	j i ɸ o	j i ɸ o	259	259	FIRE				6 7 3 7	AXBZ	JIBU	5	5.J.C 5.I.V 5.B.C 5.U.V	2.0 1.5 1.75 0.8	jiɸo	0	558	521	468	302	498	468
1323	Kulina	FIRE	jipʰo	jipʰo	j i pʰ o	j i pʰ o	259	259	FIRE				6 7 1 7	AXBZ	JIPU	6	6.J.C 6.I.V 6.P.C 6.U.V	2.0 1.5 1.75 0.8	jipʰo	0	558	521	468	302	498	468
1659	Paumari	FIRE	siho	siho	s i h o	s i h o	259	259	FIRE				3 7 3 7	AXBZ	SIHU	7	7.S.C 7.I.V 7.H.C 7.U.V	2.0 1.5 1.75 0.8	siho	0	557	520	467	302	498	467
5144	Sorowaha	FIRE	abi	abi	a b i	a b i	1251	1251	FIRE				7 1 7	XBZ	API	8	8.A.V 8.P.C 8.I.V	1.5 1.75 0.8	abi	0	564	527	468	303	504	468
5165	Sorowaha	FIREFLY	aamuwa	aamuwa	aː m u w a	aː m u w a	421	888	STAR				7 4 7 6 7	XBYBZ	AMYWA	8	8.A.V 8.M.C 8.Y.V 8.W.C 8.A.V	1.5 1.75 1.3 1.75 0.8	aːmuwa	0	565	528	469	304	505	469
10008	Sorowaha	FIREWOOD	abi / aga	abi	a b i	a b i	630	1251	FIRE				7 1 7	XBZ	API	8	8.A.V 8.P.C 8.I.V	1.5 1.75 0.8	abi	1	572	535	471	306	512	471
10023	Sorowaha	FIREWOOD	abi / aga	aga	a g a	a g a	643	537	TREE				7 1 7	XBZ	AKA	8	8.A.V 8.K.C 8.A.V	1.5 1.75 0.8	aga	1	573	536	477	307	513	477
10141	Arawa	FIREWOOD	sihu	sihu	s i h u	s i h u	753	716	FIREWOOD				3 7 3 7	AXBZ	SIHY	1	1.S.C 1.I.V 1.H.C 1.Y.V	2.0 1.5 1.75 0.8	sihu	0	566	529	470	305	506	470
10142	Deni	FIREWOOD	jipʰo	jipʰo	j i pʰ o	j i pʰ o	753	716	FIREWOOD				6 7 1 7	AXBZ	JIPU	3	3.J.C 3.I.V 3.P.C 3.U.V	2.0 1.5 1.75 0.8	jipʰo	1	567	530	471	305	506	471
10143	Kulina	FIREWOOD	jipʰo	jipʰo	j i pʰ o	j i pʰ o	753	716	FIREWOOD				6 7 1 7	AXBZ	JIPU	6	6.J.C 6.I.V 6.P.C 6.U.V	2.0 1.5 1.75 0.8	jipʰo	1	567	530	471	305	506	471
10144	Jamamadi	FIREWOOD	jiɸo	jiɸo	j i ɸ o	j i ɸ o	753	716	FIREWOOD				6 7 3 7	AXBZ	JIBU	4	4.J.C 4.I.V 4.B.C 4.U.V	2.0 1.5 1.75 0.8	jiɸo	1	567	530	471	305	506	471
10145	Jarawara	FIREWOOD	jiɸo	jiɸo	j i ɸ o	j i ɸ o	753	716	FIREWOOD				6 7 3 7	AXBZ	JIBU	5	5.J.C 5.I.V 5.B.C 5.U.V	2.0 1.5 1.75 0.8	jiɸo	1	567	530	471	305	506	471
