ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	ALIGNMENT	COGID	COGIDS	MORPHEMES	COGNACY	BORROWING	NOTE	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	TURCHINID	EDITID	SCAID	INFOMAP	LEXSTATID	COGNATES
10146	Banawa	FIREWOOD	jiɸo	jiɸo	j i ɸ o	j i ɸ o	753	716	FIREWOOD				6 7 3 7	AXBZ	JIBU	2	2.J.C 2.I.V 2.B.C 2.U.V	2.0 1.5 1.75 0.8	jiɸo	1	567	530	471	305	506	471
225	Banawa	FIRST	dai	dai	d a i	d a i	368	688	?			go first	1 7 7	AXZ	TAI	2	2.T.C 2.A.V 2.I.V	2.0 1.5 0.8	dai	0	574	537	478	308	514	478
562	Deni	FIRST	tatide	tatide	t a t i d e	t a t i d e	563	552	FIRST				1 7 1 7 1 7	AXBYBZ	TATITE	3	3.T.C 3.A.V 3.T.C 3.I.V 3.T.C 3.E.V	2.0 1.5 1.75 1.3 1.75 0.8	tatide	0	575	538	479	308	514	479
834	Jamamadi	FIRST	dai	dai	d a i	d a i	368	688	?			go first	1 7 7	AXZ	TAI	4	4.T.C 4.A.V 4.I.V	2.0 1.5 0.8	dai	0	574	537	478	308	514	478
1188	Jarawara	FIRST	tai	tai	t a i	t a i	368	688	?			go first	1 7 7	AXZ	TAI	5	5.T.C 5.A.V 5.I.V	2.0 1.5 0.8	tai	0	574	537	478	308	514	478
1580	Kulina	FIRST	taʔidɛ	taʔidɛ	t a ʔ i d ɛ	t a ʔ i d ɛ	563	552	FIRST				1 7 1 7 1 7	AXBYBZ	TAHITE	6	6.T.C 6.A.V 6.H.C 6.I.V 6.T.C 6.E.V	2.0 1.5 1.75 1.3 1.75 0.8	taʔidɛ	0	578	538	479	308	514	479
10110	Sorowaha	FIRST	kataawɨ	kataawɨ	k a t aː w ɨ	k a t aː w ɨ	733	687	FIRST				1 7 1 7 6 7	AXBYBZ	KATAWI	8	8.K.C 8.A.V 8.T.C 8.A.V 8.W.C 8.I.V	2.0 1.5 1.75 1.3 1.75 0.8	kataːwɨ	0	579	542	483	309	519	483
4	Arawa	FISH	abaigaua	abaigaua	a b a i g a u a	a b a i g a u a	201	201	FISH				7 1 7 7 1 7 7 7	XBYYBYYZ	APAIKAYA	1	1.A.V 1.P.C 1.A.V 1.I.V 1.K.C 1.A.V 1.Y.V 1.A.V	1.5 1.75 1.3 1.3 1.75 1.3 1.3 0.8	abaigaua	0	580	543	484	310	520	484
66	Banawa	FISH	aba	aba	a b a	a b a - - - - -	201	201	FISH				7 1 7	XBZ	APA	2	2.A.V 2.P.C 2.A.V	1.5 1.75 0.8	aba	0	580	544	492	311	521	492
247	Banawa	FISH	korobo / siraba	korobo	k o r o b o	k o r o b o	122	122	FISH				1 7 5 7 1 7	AXBYBZ	KURUPU	2	2.K.C 2.U.V 2.R.C 2.U.V 2.P.C 2.U.V	2.0 1.5 1.75 1.3 1.75 0.8	korobo	0	588	551	492	313	528	492
278	Banawa	FISH	korobo / siraba	siraba	s i r a b a	s i r a b a	164	164	FISH				3 7 5 7 1 7	AXBYBZ	SIRAPA	2	2.S.C 2.I.V 2.R.C 2.A.V 2.P.C 2.A.V	2.0 1.5 1.75 1.3 1.75 0.8	siraba	0	593	544	492	311	521	492
341	Deni	FISH	aba	aba	a b a	a b a - - - - -	201	201	FISH				7 1 7	XBZ	APA	3	3.A.V 3.P.C 3.A.V	1.5 1.75 0.8	aba	0	580	544	492	311	521	492
582	Deni	FISH	korobo	korobo	k o r o b o	k o r o b o	122	122	FISH				1 7 5 7 1 7	AXBYBZ	KURUPU	3	3.K.C 3.U.V 3.R.C 3.U.V 3.P.C 3.U.V	2.0 1.5 1.75 1.3 1.75 0.8	korobo	0	588	551	492	313	528	492
670	Jamamadi	FISH	aba	aba	a b a	a b a - - - - -	201	201	FISH				7 1 7	XBZ	APA	4	4.A.V 4.P.C 4.A.V	1.5 1.75 0.8	aba	0	580	544	492	311	521	492
854	Jamamadi	FISH	korobo / siraba	korobo	k o r o b o	k o r o b o	122	122	FISH				1 7 5 7 1 7	AXBYBZ	KURUPU	4	4.K.C 4.U.V 4.R.C 4.U.V 4.P.C 4.U.V	2.0 1.5 1.75 1.3 1.75 0.8	korobo	0	588	551	492	313	528	492
888	Jamamadi	FISH	korobo / siraba	siraba	s i r a b a	s i r a b a	164	164	FISH				3 7 5 7 1 7	AXBYBZ	SIRAPA	4	4.S.C 4.I.V 4.R.C 4.A.V 4.P.C 4.A.V	2.0 1.5 1.75 1.3 1.75 0.8	siraba	0	593	544	492	311	521	492
964	Jarawara	FISH	aba	aba	a b a	a b a - - - - -	201	201	FISH				7 1 7	XBZ	APA	5	5.A.V 5.P.C 5.A.V	1.5 1.75 0.8	aba	0	580	544	492	311	521	492
1214	Jarawara	FISH	korobo / siraba	korobo	k o r o b o	k o r o b o	122	122	FISH				1 7 5 7 1 7	AXBYBZ	KURUPU	5	5.K.C 5.U.V 5.R.C 5.U.V 5.P.C 5.U.V	2.0 1.5 1.75 1.3 1.75 0.8	korobo	0	588	551	492	313	528	492
1250	Jarawara	FISH	korobo / siraba	siraba	s i r a b a	s i r a b a	164	164	FISH				3 7 5 7 1 7	AXBYBZ	SIRAPA	5	5.S.C 5.I.V 5.R.C 5.A.V 5.P.C 5.A.V	2.0 1.5 1.75 1.3 1.75 0.8	siraba	0	593	544	492	311	521	492
1324	Kulina	FISH	aba	aba	a b a	a b a - - - - -	201	201	FISH				7 1 7	XBZ	APA	6	6.A.V 6.P.C 6.A.V	1.5 1.75 0.8	aba	0	580	544	492	311	521	492
1596	Kulina	FISH	kʰoɾobo	kʰoɾobo	kʰ o ɾ o b o	kʰ o ɾ o b o	122	122	FISH				1 7 5 7 1 7	AXBYBZ	KURUPU	6	6.K.C 6.U.V 6.R.C 6.U.V 6.P.C 6.U.V	2.0 1.5 1.75 1.3 1.75 0.8	kʰoɾobo	0	588	551	492	313	528	492
1660	Paumari	FISH	abaisana	abaisana	a b a i s a n a	a b a i s a n a	201	201	FISH				7 1 7 7 3 7 4 7	XBYYBYBZ	APAISANA	7	7.A.V 7.P.C 7.A.V 7.I.V 7.S.C 7.A.V 7.N.C 7.A.V	1.5 1.75 1.3 1.3 1.75 1.3 1.75 0.8	abaisana	0	580	543	484	312	520	484
1828	Paumari	FISH	siraba	siraba	s i r a b a	s i r a b a	164	164	FISH				3 7 5 7 1 7	AXBYBZ	SIRAPA	7	7.S.C 7.I.V 7.R.C 7.A.V 7.P.C 7.A.V	2.0 1.5 1.75 1.3 1.75 0.8	siraba	0	593	544	492	311	521	492
1861	Sorowaha	FISH	aba	aba	a b a	a b a - - - - -	201	201	FISH				7 1 7	XBZ	APA	8	8.A.V 8.P.C 8.A.V	1.5 1.75 0.8	aba	0	580	544	492	311	521	492
5030	Sorowaha	FISH	aaba	aaba	aː b a	aː b a - - - - -	201	201	FISH				7 1 7	XBZ	APA	8	8.A.V 8.P.C 8.A.V	1.5 1.75 0.8	aːba	0	580	544	492	311	521	492
5038	Sorowaha	FISHHOOK	kabɨkana	kabɨkana	k a b ɨ k a n a	k a b ɨ k a n a	1256	1256	FISHHOOK				1 7 1 7 1 7 4 7	AXBYBYBZ	KAPIKANA	8	8.K.C 8.A.V 8.P.C 8.I.V 8.K.C 8.A.V 8.N.C 8.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	kabɨkana	0	594	552	493	314	529	493
342	Deni	FIX	ta	ta	t a	t a - -	45	45	FIX				1 7	AX	TA	3	3.T.C 3.A.V	2.0 1.5	ta	0	595	553	494	315	530	494
1661	Paumari	FIX	ɗakha	ɗakha	ɗ a kʰ a	ɗ a kʰ a	45	45	FIX				1 7 1 7	AXBZ	TAKA	7	7.T.C 7.A.V 7.K.C 7.A.V	2.0 1.5 1.75 0.8	ɗakʰa	0	596	554	494	315	530	494
5167	Sorowaha	FLAT	baaɾʲu	baaɾʲu	b aː ɾʲ u	b aː ɾʲ u	1257	1257	FLAT				1 7 5 7	AXBZ	PARY	8	8.P.C 8.A.V 8.R.C 8.Y.V	2.0 1.5 1.75 0.8	baːɾʲu	0	597	555	495	316	531	495
101	Banawa	FLESH OR MEAT	ime	ime	i m e	i m e	250	250	MEAT				7 4 7	XBZ	IME	2	2.I.V 2.M.C 2.E.V	1.5 1.75 0.8	ime	0	598	556	496	317	533	496
387	Deni	FLESH OR MEAT	ima	ima	i m a	i m a	250	250	MEAT				7 4 7	XBZ	IMA	3	3.I.V 3.M.C 3.A.V	1.5 1.75 0.8	ima	0	598	556	496	317	533	496
701	Jamamadi	FLESH OR MEAT	ime	ime	i m e	i m e	250	250	MEAT				7 4 7	XBZ	IME	4	4.I.V 4.M.C 4.E.V	1.5 1.75 0.8	ime	0	598	556	496	317	533	496
1014	Jarawara	FLESH OR MEAT	ime	ime	i m e	i m e	250	250	MEAT				7 4 7	XBZ	IME	5	5.I.V 5.M.C 5.E.V	1.5 1.75 0.8	ime	0	598	556	496	317	533	496
1380	Kulina	FLESH OR MEAT	ima / bani mɛkʰɛ	bani mɛkʰɛ	b a n i + m ɛ kʰ ɛ	b a n i + m ɛ kʰ ɛ	523	512 388	MEAT ?				1 7 4 7 9 4 7 1 7	AXBZ_AXBZ	PANI_MEKE	6	6.P.C 6.A.V 6.N.C 6.I.V 6._._ 6.M.C 6.E.V 6.K.C 6.E.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	bani+mɛkʰɛ	0	602	560	500	318	536	500
1381	Kulina	FLESH OR MEAT	ima / bani mɛkʰɛ	ima	i m a	i m a	250	250	MEAT				7 4 7	XBZ	IMA	6	6.I.V 6.M.C 6.A.V	1.5 1.75 0.8	ima	0	598	556	496	317	533	496
1690	Paumari	FLESH OR MEAT	ima	ima	i m a	i m a	250	250	MEAT				7 4 7	XBZ	IMA	7	7.I.V 7.M.C 7.A.V	1.5 1.75 0.8	ima	0	598	556	496	317	533	496
1878	Sorowaha	FLESH OR MEAT	ime /ɨmɨ	ime	i m e	i m e	250	250	MEAT				7 4 7	XBZ	IME	8	8.I.V 8.M.C 8.E.V	1.5 1.75 0.8	ime	0	598	556	496	317	533	496
5145	Sorowaha	FLESH OR MEAT	ime /ɨmɨ	ɨmɨ	ɨ m ɨ	ɨ m ɨ	250	250	MEAT				7 4 7	XBZ	IMI	8	8.I.V 8.M.C 8.I.V	1.5 1.75 0.8	ɨmɨ	0	598	564	496	317	533	496
257	Banawa	FLOWER	mowe	mowe	m o w e	m o w e	136	136	FLOWER				4 7 6 7	AXBZ	MUWE	2	2.M.C 2.U.V 2.W.C 2.E.V	2.0 1.5 1.75 0.8	mowe	0	603	565	501	319	537	501
866	Jamamadi	FLOWER	mowe	mowe	m o w e	m o w e	136	136	FLOWER				4 7 6 7	AXBZ	MUWE	4	4.M.C 4.U.V 4.W.C 4.E.V	2.0 1.5 1.75 0.8	mowe	0	603	565	501	319	537	501
965	Jarawara	FLOWER	mowe	mowe	m o w e	m o w e	136	136	FLOWER				4 7 6 7	AXBZ	MUWE	5	5.M.C 5.U.V 5.W.C 5.E.V	2.0 1.5 1.75 0.8	mowe	0	603	565	501	319	537	501
1325	Kulina	FLOWER	mowɛ	mowɛ	m o w ɛ	m o w ɛ	136	136	FLOWER				4 7 6 7	AXBZ	MUWE	6	6.M.C 6.U.V 6.W.C 6.E.V	2.0 1.5 1.75 0.8	mowɛ	0	603	565	501	319	537	501
