# Wordlist

# DATA
ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	COGID	COGIDS
1842	Sorowaha	BELLY	makawɨ	makawɨ	m a k a w ɨ	HEART	386	285
#
1286	Kulina	BELOW OR UNDER	nami	nami	n a m i	GROUND	298	298
#
5002	Sorowaha	BENCH	itʲaza	itʲaza	i tʲ a z a	BENCH	389	369
#
260	Banawa	BIG	naɸi	naɸi	n a ɸ i	BIG	138	138
308	Deni	BIG	putahari / napi	putahari	p u t a h a r i	BIG	390	370
599	Deni	BIG	putahari / napi	napi	n a p i	BIG	138	138
868	Jamamadi	BIG	naɸi	naɸi	n a ɸ i	BIG	138	138
1230	Jarawara	BIG	naɸi	naɸi	n a ɸ i	BIG	138	138
1287	Kulina	BIG	imɛi / napi	imɛi	i m ɛ i	BIG	391	371
1609	Kulina	BIG	imɛi / napi	napi	n a p i	BIG	138	138
1977	Sorowaha	BIG	nahi	nahi	n a h i	BIG	337	337
#
921	Jarawara	BIRD	bani	bani	b a n i	ANIMAL	508	318
#
147	Banawa	BITE	waji	waji	w a j i	BITE	365	359
463	Deni	BITE	waji	waji	w a j i	BITE	365	359
752	Jamamadi	BITE	waji	waji	w a j i	BITE	365	359
1087	Jarawara	BITE	wai	wai	w a i	BITE	365	359
1459	Kulina	BITE	kʰa	kʰa	kʰ a	BITE	532	522
#
38	Banawa	BITTER	bida	bida	b i d a	BITTER	219	219
311	Deni	BITTER	bidaro	bidaro	b i d a r o	BITTER	219	219
645	Jamamadi	BITTER	bidaro	bidaro	b i d a r o	BITTER	219	219
922	Jarawara	BITTER	bita	bita	b i t a	BITTER	219	219
1288	Kulina	BITTER	bida	bida	b i d a	BITTER	219	219
#
272	Banawa	BITTER MANIOC	ɸowa	ɸowa	ɸ o w a	BITTER.MANIOC	156	156
611	Deni	BITTER MANIOC	poʔo	poʔo	p o ʔ o	BITTER.MANIOC	156	156
881	Jamamadi	BITTER MANIOC	ɸowa	ɸowa	ɸ o w a	BITTER.MANIOC	156	156
1244	Jarawara	BITTER MANIOC	ɸowa	ɸowa	ɸ o w a	BITTER.MANIOC	156	156
1619	Kulina	BITTER MANIOC	poʔo	poʔo	p o ʔ o	BITTER.MANIOC	156	156
5179	Sorowaha	BITTER MANIOC	maama / kuɾukuɾu	kuɾukuɾu	k u ɾ u + k u ɾ u	? ?	1283	1283 1283
5185	Sorowaha	BITTER MANIOC	maama / kuɾukuɾu	maama	m aː m a	BITTER.MANIOC	1284	1284
#
5005	Sorowaha	BIXA ORELLANA	iidʲahɨ	iidʲahɨ	iː dʲ a h ɨ	URUCU	208	208
5135	Kulina	BIXA ORELLANA	hidepe	hidepe	h i d e p e	URUCU	208	208
5136	Deni	BIXA ORELLANA	hidepe	hidepe	h i d e p e	URUCU	208	208
5137	Sorowaha	BIXA ORELLANA	idahɨ	idahɨ	i d a h ɨ	URUCU	208	208
#
312	Deni	BLACK	kiride	kiride	k i r i d e	BLACK	1288	1288
1289	Kulina	BLACK	tsowɛ	tsowɛ	ts o w ɛ	BLACK	1289	1289
10049	Sorowaha	BLACK	asa	asa	a s a	DARK	677	627
#
