ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	COGID	COGIDS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	SCAIDS	LEXSTATIDS
323	Deni	CORPSE	abapo	abapo	a b a p o	CORPSE	574	561	7 1 7 1 7	XBYBZ	APAPU	2	2.A.V 2.P.C 2.A.V 2.P.C 2.U.V	1.5 1.75 1.3 1.75 0.8	abapo	0	565	565
324	Deni	CORRECT (RIGHT)	naniarini	naniarini	n a n i a r i n i	CORRECT	575	562	4 7 4 7 7 5 7 4 7	AXBYYBYBZ	NANIARINI	2	2.N.C 2.A.V 2.N.C 2.I.V 2.A.V 2.R.C 2.I.V 2.N.C 2.I.V	2.0 1.5 1.75 1.3 1.3 1.75 1.3 1.75 0.8	naniarini	0	567	567
5096	Kulina	COTTON	wepe	wepe	w e p e	COTTON	199	199	6 7 1 7	AXBZ	WEPE	5	5.W.C 5.E.V 5.P.C 5.E.V	2.0 1.5 1.75 0.8	wepe	0	569	569
5097	Jarawara	COTTON	waɸe	waɸe	w a ɸ e	COTTON	199	199	6 7 3 7	AXBZ	WABE	4	4.W.C 4.A.V 4.B.C 4.E.V	2.0 1.5 1.75 0.8	waɸe	0	569	569
5098	Banawa	COTTON	waɸe	waɸe	w a ɸ e	COTTON	199	199	6 7 3 7	AXBZ	WABE	1	1.W.C 1.A.V 1.B.C 1.E.V	2.0 1.5 1.75 0.8	waɸe	0	569	569
5099	Jamamadi	COTTON	weɸe	weɸe	w e ɸ e	COTTON	199	199	6 7 3 7	AXBZ	WEBE	3	3.W.C 3.E.V 3.B.C 3.E.V	2.0 1.5 1.75 0.8	weɸe	0	569	569
5100	Sorowaha	COTTON	wabɨ	wabɨ	w a b ɨ	COTTON	199	199	6 7 1 7	AXBZ	WAPI	7	7.W.C 7.A.V 7.P.C 7.I.V	2.0 1.5 1.75 0.8	wabɨ	0	569	569
52	Banawa	COUGH	toho	toho	t o h o	COUGH	333	333	1 7 3 7	AXBZ	TUHU	1	1.T.C 1.U.V 1.H.C 1.U.V	2.0 1.5 1.75 0.8	toho	0	575	575
325	Deni	COUGH	thoho	thoho	t̪ʰ o h o	COUGH	333	333	1 7 3 7	AXBZ	TUHU	2	2.T.C 2.U.V 2.H.C 2.U.V	2.0 1.5 1.75 0.8	t̪ʰoho	0	575	575
658	Jamamadi	COUGH	toho	toho	t o h o	COUGH	333	333	1 7 3 7	AXBZ	TUHU	3	3.T.C 3.U.V 3.H.C 3.U.V	2.0 1.5 1.75 0.8	toho	0	575	575
940	Jarawara	COUGH	toho	toho	t o h o	COUGH	333	333	1 7 3 7	AXBZ	TUHU	4	4.T.C 4.U.V 4.H.C 4.U.V	2.0 1.5 1.75 0.8	toho	0	575	575
1304	Kulina	COUGH	t̪ʰoho	t̪ʰoho	t̪ʰ o h o	COUGH	333	333	1 7 3 7	AXBZ	TUHU	5	5.T.C 5.U.V 5.H.C 5.U.V	2.0 1.5 1.75 0.8	t̪ʰoho	0	575	575
1648	Paumari	COUGH	otoho	otoho	o t o h o	COUGH	333	333	7 1 7 3 7	XBYBZ	UTUHU	6	6.U.V 6.T.C 6.U.V 6.H.C 6.U.V	1.5 1.75 1.3 1.75 0.8	otoho	0	575	575
1852	Sorowaha	COUGH	toho	toho	t o h o	COUGH	333	333	1 7 3 7	AXBZ	TUHU	7	7.T.C 7.U.V 7.H.C 7.U.V	2.0 1.5 1.75 0.8	toho	0	575	575
659	Jamamadi	CRAB	amo	amo	a m o	CRAB	7	7	7 4 7	XBZ	AMU	3	3.A.V 3.M.C 3.U.V	1.5 1.75 0.8	amo	0	583	583
1305	Kulina	CRAB	amo	amo	a m o	CRAB	7	7	7 4 7	XBZ	AMU	5	5.A.V 5.M.C 5.U.V	1.5 1.75 0.8	amo	0	583	583
5149	Sorowaha	CRAB	amu	amu	a m u	CRAB	7	7	7 4 7	XBZ	AMY	7	7.A.V 7.M.C 7.Y.V	1.5 1.75 0.8	amu	0	583	583
5180	Sorowaha	CRICKET	kuubiʃʲa	kuubiʃʲa	k uː b i ʃʲ a	CRICKET	415	390	1 7 1 7 3 7	AXBYBZ	KYPISA	7	7.K.C 7.Y.V 7.P.C 7.I.V 7.S.C 7.A.V	2.0 1.5 1.75 1.3 1.75 0.8	kuːbiʃʲa	0	587	587
149	Banawa	CRY	ohi	ohi	o h i	CRY	304	304	7 3 7	XBZ	UHI	1	1.U.V 1.H.C 1.I.V	1.5 1.75 0.8	ohi	0	589	589
465	Deni	CRY	ohi	ohi	o h i	CRY	304	304	7 3 7	XBZ	UHI	2	2.U.V 2.H.C 2.I.V	1.5 1.75 0.8	ohi	0	589	589
754	Jamamadi	CRY	ohi	ohi	o h i	CRY	304	304	7 3 7	XBZ	UHI	3	3.U.V 3.H.C 3.I.V	1.5 1.75 0.8	ohi	0	589	589
1089	Jarawara	CRY	ohi	ohi	o h i	CRY	304	304	7 3 7	XBZ	UHI	4	4.U.V 4.H.C 4.I.V	1.5 1.75 0.8	ohi	0	589	589
1462	Kulina	CRY	ohi	ohi	o h i	CRY	304	304	7 3 7	XBZ	UHI	5	5.U.V 5.H.C 5.I.V	1.5 1.75 0.8	ohi	0	589	589
10147	Sorowaha	CRY	azana	azana	a z a n a	CRY	754	717	7 3 7 4 7	XBYBZ	ASANA	7	7.A.V 7.S.C 7.A.V 7.N.C 7.A.V	1.5 1.75 1.3 1.75 0.8	azana	0	590	590
5018	Sorowaha	CURASSOW	naasi	naasi	n aː s i	CURASSOW	446	429	4 7 3 7	AXBZ	NASI	7	7.N.C 7.A.V 7.S.C 7.I.V	2.0 1.5 1.75 0.8	naːsi	0	596	596
150	Banawa	CUT	kaa / wisi	kaa	k aː	CUT	265	265	1 7	AX	KA	1	1.K.C 1.A.V	2.0 1.5	kaː	0	598	598
466	Deni	CUT	ka / witsʰi	ka	k a	CUT	265	265	1 7	AX	KA	2	2.K.C 2.A.V	2.0 1.5	ka	0	598	598
755	Jamamadi	CUT	kaa / wisi	kaa	k aː	CUT	265	265	1 7	AX	KA	3	3.K.C 3.A.V	2.0 1.5	kaː	0	598	598
1090	Jarawara	CUT	kaa / wisi	kaa	k aː	CUT	265	265	1 7	AX	KA	4	4.K.C 4.A.V	2.0 1.5	kaː	0	598	598
1463	Kulina	CUT	ka / witsʰi / wishi	ka	k a	CUT	265	265	1 7	AX	KA	5	5.K.C 5.A.V	2.0 1.5	ka	0	598	598
1464	Kulina	CUT	ka / witsʰi / wishi	witsʰi	w i tsʰ i	CUT	206	206	6 7 2 7	AXBZ	WICI	5	5.W.C 5.I.V 5.C.C 5.I.V	2.0 1.5 1.75 0.8	witsʰi	0	599	599
2004	Sorowaha	CUT	tija / wisi / wisikijaɾi	tija	t i j a	CUT	186	186	1 7 6 7	AXBZ	TIJA	7	7.T.C 7.I.V 7.J.C 7.A.V	2.0 1.5 1.75 0.8	tija	0	600	600
3978	Kulina	CUT	ti	ti	t i	CUT	186	186	1 7	AX	TI	5	5.T.C 5.I.V	2.0 1.5	ti	0	600	600
5120	Paumari	CUT	sii	sii	s iː	CUT	206	206	3 7	AX	SI	6	6.S.C 6.I.V	2.0 1.5	siː	0	599	599
5121	Kulina	CUT	ka / witsʰi / wishi	wishi	w i s h i	CUT	206	206	6 7 3 3 7	AXMBZ	WISHI	5	5.W.C 5.I.V 5.S.c 5.H.C 5.I.V	2.0 1.5 1.1 1.75 0.8	wishi	0	599	599
5122	Deni	CUT	ka / witsʰi	witsʰi	w i tsʰ i	CUT	206	206	6 7 2 7	AXBZ	WICI	2	2.W.C 2.I.V 2.C.C 2.I.V	2.0 1.5 1.75 0.8	witsʰi	0	599	599
5123	Jarawara	CUT	kaa / wisi	wisi	w i s i	CUT	206	206	6 7 3 7	AXBZ	WISI	4	4.W.C 4.I.V 4.S.C 4.I.V	2.0 1.5 1.75 0.8	wisi	0	599	599
5124	Banawa	CUT	kaa / wisi	wisi	w i s i	CUT	206	206	6 7 3 7	AXBZ	WISI	1	1.W.C 1.I.V 1.S.C 1.I.V	2.0 1.5 1.75 0.8	wisi	0	599	599
5125	Jamamadi	CUT	kaa / wisi	wisi	w i s i	CUT	206	206	6 7 3 7	AXBZ	WISI	3	3.W.C 3.I.V 3.S.C 3.I.V	2.0 1.5 1.75 0.8	wisi	0	599	599
5126	Sorowaha	CUT	tija / wisi / wisikijaɾi	wisi	w i s i	CUT	206	206	6 7 3 7	AXBZ	WISI	7	7.W.C 7.I.V 7.S.C 7.I.V	2.0 1.5 1.75 0.8	wisi	0	599	599
8006	Banawa	CUT	tii	tii	t i i	CUT	186	186	1 7 7	AXZ	TII	1	1.T.C 1.I.V 1.I.V	2.0 1.5 0.8	tii	0	600	600
8007	Deni	CUT	tiri	tiri	t i r i	CUT	186	186	1 7 5 7	AXBZ	TIRI	2	2.T.C 2.I.V 2.R.C 2.I.V	2.0 1.5 1.75 0.8	tiri	0	600	600
8008	Jamamadi	CUT	tii	tii	t i i	CUT	186	186	1 7 7	AXZ	TII	3	3.T.C 3.I.V 3.I.V	2.0 1.5 0.8	tii	0	600	600
8009	Jarawara	CUT	tii	tii	t i i	CUT	186	186	1 7 7	AXZ	TII	4	4.T.C 4.I.V 4.I.V	2.0 1.5 0.8	tii	0	600	600
10103	Sorowaha	CUT	tija / wisi / wisikijaɾi	wisikijaɾi	w i s i k i j a ɾ i	CUT	206	206	6 7 3 7 1 7 6 7 5 7	AXBYBYBYBZ	WISIKIJARI	7	7.W.C 7.I.V 7.S.C 7.I.V 7.K.C 7.I.V 7.J.C 7.A.V 7.R.C 7.I.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 1.75 0.8	wisikijaɾi	0	599	599
