ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source,Segment_Slice
Deni-9_animal-1-1,Deni-9_animal-1,bani,318,false,expert,,b a n i,SCA,,1
Banawa-9_animal-1-1,Banawa-9_animal-1,bani,318,false,expert,,b a n i,SCA,,1
Jamamadi-9_animal-1-1,Jamamadi-9_animal-1,bani,318,false,expert,,b a n i,SCA,,1
ProtoArawan-9_animal-1-1,ProtoArawan-9_animal-1,igathe,73,false,expert,,i g a tʰ e,SCA,,1
Jarawara-47_bird-1-1,Jarawara-47_bird-1,bani,318,false,expert,,b a n i,SCA,,1
Jarawara-59_bone-1-1,Jarawara-59_bone-1,tone,191,false,expert,,- - t o n e,SCA,,1
Sorowaha-59_bone-1-1,Sorowaha-59_bone-1,atona,191,false,expert,,- a t o n a,SCA,,1
Banawa-59_bone-1-1,Banawa-59_bone-1,tone,191,false,expert,,- - t o n e,SCA,,1
Deni-59_bone-1-1,Deni-59_bone-1,tone,191,false,expert,,- - t o n e,SCA,,1
Jamamadi-59_bone-1-1,Jamamadi-59_bone-1,tone,191,false,expert,,- - t o n e,SCA,,1
Kulina-59_bone-1-1,Kulina-59_bone-1,tona,191,false,expert,,- - t o n a,SCA,,1
Paumari-59_bone-1-1,Paumari-59_bone-1,katona,191,false,expert,,k a t o n a,SCA,,1
Jarawara-87_child-1-1,Jarawara-87_child-1,inamatewe,374,false,expert,,i n a m a t e w e,SCA,,1
Kulina-87_child-1-1,Kulina-87_child-1,ɛhɛdɛni,375,false,expert,,ɛ h ɛ d ɛ n i,SCA,,1
Paumari-87_child-1-1,Paumari-87_child-1,badia,736,false,expert,,b a d ia,SCA,,1
Paumari-87_child-2-1,Paumari-87_child-2,isai,737,false,expert,,i s ai,SCA,,1
Deni-87_child-1-1,Deni-87_child-1,eheve,738,false,expert,,e h e v e,SCA,,1
Jarawara-92_cloud-1-1,Jarawara-92_cloud-1,sabi,491,false,expert,,s a b i,SCA,,1
Kulina-92_cloud-1-1,Kulina-92_cloud-1,mɛmɛ ɛtsʰɛ,1001,false,expert,,m ɛ m ɛ,SCA,,1
Kulina-92_cloud-1-2,Kulina-92_cloud-1,mɛmɛ ɛtsʰɛ,1002,false,expert,,ɛ tsʰ ɛ,SCA,,2
Paumari-92_cloud-1-1,Paumari-92_cloud-1,bahi,739,false,expert,,b a h i,SCA,,1
Deni-92_cloud-1-1,Deni-92_cloud-1,aʃivani,740,false,expert,,a ʃ i v a n i,SCA,,1
Jarawara-118_dog-1-1,Jarawara-118_dog-1,jomee,90,false,expert,,j o m - - - - eː,SCA,,1
Kulina-118_dog-1-1,Kulina-118_dog-1,ɛt̪ʰɛ,490,false,expert,,ɛ t̪ʰ ɛ,SCA,,1
Paumari-118_dog-1-1,Paumari-118_dog-1,jomahi vaovaoha,90,false,expert,,j o m a - - h i,SCA,,1
Paumari-118_dog-1-2,Paumari-118_dog-1,jomahi vaovaoha,742,false,expert,,v ao v ao h a,SCA,,2
