ID,Name,Concepticon_ID,Concepticon_Gloss,Number,Semantic_Field
255_imitate,IMITATE,117,IMITATE,,COGNITION
256_infrontof,IN FRONT OF,1883,IN FRONT OF,,SPATIAL_RELATIONS
257_indigenouspeoplesoftheamericas,INDIGENOUS PEOPLES OF THE AMERICAS,3612,INDIGENOUS PEOPLES OF THE AMERICAS,,SOCIAL_AND_POLITICAL_RELATIONS
258_ingagenus,INGA (genus),3934,INGA (genus),,AGRICULTURE_AND_VEGETATION
259_insect,INSECT,620,INSECT,,ANIMALS
260_inside,INSIDE,1606,INSIDE,,SPATIAL_RELATIONS
261_island,ISLAND,622,ISLAND,,THE_PHYSICAL_WORLD
262_jackfruit,JACKFRUIT,2655,JACKFRUIT,,AGRICULTURE_AND_VEGETATION
263_jaguar,JAGUAR,1250,JAGUAR,,ANIMALS
264_jump,JUMP,1829,JUMP,,MOTION
265_kapokceibetree,KAPOK CEIBE TREE,,,,AGRICULTURE_AND_VEGETATION
266_kick,KICK,1135,KICK,,MOTION
267_kill,KILL,1417,KILL,,THE_BODY
268_kingfisher,KINGFISHER,2444,KINGFISHER,,ANIMALS
269_kinkajou,KINKAJOU,,,,
270_knee,KNEE,1371,KNEE,,THE_BODY
272_knife,KNIFE,1352,KNIFE,,BASIC_ACTIONS_AND_TECHNOLOGY
273_know,KNOW,3626,KNOW,,COGNITION
274_lake,LAKE,624,LAKE,,THE_PHYSICAL_WORLD
275_largecatfish,LARGE CATFISH,,,,ANIMALS
276_largebulletantsubfamilyparaponerinae,LARGE-BULLET-ANT (subfamily paraponerinae),,,,ANIMALS
277_larva,LARVA,2640,LARVA,,ANIMALS
278_late,LATE,477,LATE,,TIME
279_laugh,LAUGH,1355,LAUGH,,EMOTIONS_AND_VALUES
280_leaf,LEAF,628,LEAF,,AGRICULTURE_AND_VEGETATION
281_leafbundle,LEAF BUNDLE,,,,
282_leafspine,LEAF SPINE,2803,LEAF SPINE,,AGRICULTURE_AND_VEGETATION
283_leech,LEECH,2273,LEECH,,ANIMALS
284_leg,LEG,1297,LEG,,THE_BODY
285_letgoorsetfree,LET GO OR SET FREE,1095,LET GO OR SET FREE,,POSSESSION
286_letsgo,LET'S GO,,,,
287_liana,LIANA,2388,LIANA,,AGRICULTURE_AND_VEGETATION
288_lierest,LIE (REST),1411,LIE (REST),,SPATIAL_RELATIONS
289_light,LIGHT,,,,
290_lightignite,LIGHT (IGNITE),737,LIGHT (IGNITE),,THE_PHYSICAL_WORLD
291_lightradiation,LIGHT (RADIATION),630,LIGHT (RADIATION),,THE_PHYSICAL_WORLD
292_lightning,LIGHTNING,1654,LIGHTNING,,THE_PHYSICAL_WORLD
293_like,LIKE,1117,LIKE,,EMOTIONS_AND_VALUES
294_limp,LIMP,366,LIMP,,MOTION
295_lip,LIP,478,LIP,,THE_BODY
296_liver,LIVER,1224,LIVER,,THE_BODY
297_lizard,LIZARD,632,LIZARD,,ANIMALS
298_long,LONG,1203,LONG,,SPATIAL_RELATIONS
299_louse,LOUSE,1392,LOUSE,,ANIMALS
300_low,LOW,721,LOW,,SPATIAL_RELATIONS
301_lubricate,LUBRICATE,,,,
302_lung,LUNG,688,LUNG,,THE_BODY
303_lungfish,LUNG FISH,,,,ANIMALS
305_maize,MAIZE,506,MAIZE,,AGRICULTURE_AND_VEGETATION
