ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Morphemes,SimpleCognate,PartialCognates
Amarakaeri-484_river-1,,Amarakaeri,484_river,wẽ,wẽ,w ẽ,,adelaar2000propuesta;van2014argument;vanlinden2019harakmbut;van2019nominalization;van2020construction;van2016classifier;tripp1995diccionario;chávez1984skizze,,,,,WATER,597,157
Sorowaha-484_river-1,,Sorowaha,484_river,bami,bami,b a m i,,dixon2004proto;suzuki2000ocp;suzuki1977fonetica,,,,,WATER,1074,498
Arasairi-484_river-1,,Arasairi,484_river,uabe,uabe,u a b e,,aza1933arasairi,,,,,WATER,597,157
Toyeri-484_river-1,,Toyeri,484_river,watewe,watewe,w a t e w e,,peck1979toyeri,,,,,WATER,597,157
Deni-494_rubbertree-1,,Deni,494_rubbertree,wekheʔi,wekheʔi,w e kʰ e ʔ i,,dixon2004proto;carvalho2013analise;carvalho2013fonologia;carvalho2013sobrefonologia;carvalho2018adjective;koop1985dicionario,,,,,RUBBER.TREE,1134,1134
Jamamadi-494_rubbertree-1,,Jamamadi,494_rubbertree,weke,weke,w e k e,,campbell1992jamamadi;dixon2004proto;dixon2004adjective,,,,,RUBBER.TREE,1134,1134
Kulina-494_rubbertree-1,,Kulina,494_rubbertree,wɛkʰɛʔi,wɛkʰɛʔi,w ɛ kʰ ɛ ʔ i,,dixon2004proto;monserrat1986gramatica;dienst2014grammar,,,,,RUBBER.TREE,1134,1134
ProtoArawan-494_rubbertree-1,,ProtoArawan,494_rubbertree,wekheʔi,wekheʔi,w e kʰ e ʔ i,,dixon2004proto,,,,,RUBBER.TREE,1134,1134
Deni-14_antspecies-1,,Deni,14_antspecies,awitha,awitha,a w i tʰ a,,dixon2004proto;carvalho2013analise;carvalho2013fonologia;carvalho2013sobrefonologia;carvalho2018adjective;koop1985dicionario,,,,,SMALL.ANT.WITH.PAINFUL.BITE,15,15
Jamamadi-14_antspecies-1,,Jamamadi,14_antspecies,awita,awita,a w i t a,,campbell1992jamamadi;dixon2004proto;dixon2004adjective,,,,,SMALL.ANT.WITH.PAINFUL.BITE,15,15
Kulina-14_antspecies-1,,Kulina,14_antspecies,awit̪ʰa,awit̪ʰa,a w i t̪ʰ a,,dixon2004proto;monserrat1986gramatica;dienst2014grammar,,,,,SMALL.ANT.WITH.PAINFUL.BITE,15,15
ProtoArawan-14_antspecies-1,,ProtoArawan,14_antspecies,awitʰa,awitʰa,a w i tʰ a,,dixon2004proto,,,,,SMALL.ANT.WITH.PAINFUL.BITE,15,15
Banawa-14_antspecies-1,,Banawa,14_antspecies,awita,awita,a w i t a,,ladefoged1997phonetic,,,,,SMALL.ANT.WITH.PAINFUL.BITE,15,15
Arasairi-14_antspecies-1,,Arasairi,14_antspecies,uasø,uasø,u a s ø,,aza1933arasairi,,,,,ANT,1658,1644
Toyeri-14_antspecies-1,,Toyeri,14_antspecies,kakahpi,kakahpi,k a k a h p i,,peck1979toyeri,,,,,ANT,980,1650
Sapiteri-14_antspecies-1,,Sapiteri,14_antspecies,takahpi,takahpi,t a k a h p i,,,,,,,ANT,980,1650
Deni-548_smooth-1,,Deni,548_smooth,merude,merude,m e r u d e,,dixon2004proto;carvalho2013analise;carvalho2013fonologia;carvalho2013sobrefonologia;carvalho2018adjective;koop1985dicionario,,,,,SMOOTH,288,288
Jarawara-548_smooth-1,,Jarawara,548_smooth,bono kana,bono kana,b o n o + k a n a,,dixon2004proto;dixon1995fusional;vogel2021typology;dixon2004jarawara,,,,,SMOOTH ?,622,445 481
Banawa-548_smooth-1,,Banawa,548_smooth,isowa,isowa,i s o w a,,ladefoged1997phonetic,,,,,SMOOTH,593,579
Toyeri-548_smooth-1,,Toyeri,548_smooth,waktasore,waktasore,w a k t a s o r e,,peck1979toyeri,,,,,SMOOTH,2038,2024
Sapiteri-548_smooth-1,,Sapiteri,548_smooth,waktasore,waktasore,w a k t a s o r e,,,,,,,SMOOTH,2038,2024
Deni-555_son-1,,Deni,555_son,daʔo,daʔo,d a ʔ o,,dixon2004proto;carvalho2013analise;carvalho2013fonologia;carvalho2013sobrefonologia;carvalho2018adjective;koop1985dicionario,,,,,SON,36,36
Jamamadi-555_son-1,,Jamamadi,555_son,dao,dao,d a o,,campbell1992jamamadi;dixon2004proto;dixon2004adjective,,,,,SON,36,36
Jarawara-555_son-1,,Jarawara,555_son,tao,tao,t a o,,dixon2004proto;dixon1995fusional;vogel2021typology;dixon2004jarawara,,,,,SON,36,36
Sorowaha-555_son-1,,Sorowaha,555_son,ahidi,ahidi,a h i d i,,dixon2004proto;suzuki2000ocp;suzuki1977fonetica,,,,,OFFSPRING,659,425
ProtoArawan-555_son-1,,ProtoArawan,555_son,daʔo,daʔo,d a ʔ o,,dixon2004proto,,,,,SON,36,36
Banawa-555_son-1,,Banawa,555_son,dao,dao,d a o,,ladefoged1997phonetic,,,,,SON,36,36
Paumari-555_son-1,,Paumari,555_son,isai,isai,i s ai,,dixon2004proto;chapman1998dicionario,,,,,OFFSPRING,1389,1355
Paumari_1833-555_son-1,,Paumari_1833,555_son,isai,isai,i s ai,,,,,,,OFFSPRING,1389,1355
Kulina-555_son-1,,Kulina,555_son,ato / bedi / ehedeni,ato,a t o,,dixon2004proto;monserrat1986gramatica;dienst2014grammar,,,,,SON,1585,1567
Kulina-555_son-2,,Kulina,555_son,ato / bedi / ehedeni,ehedeni,e h e d e n i,,dixon2004proto;monserrat1986gramatica;dienst2014grammar,,,,,SON,1587,1569
Kulina-555_son-3,,Kulina,555_son,ato / bedi / ehedeni,bedi,b e d i,,dixon2004proto;monserrat1986gramatica;dienst2014grammar,,,,,SON,1586,1568
Arasairi-555_son-1,,Arasairi,555_son,huasipo,huasipo,h u a s i p o,,aza1933arasairi,,,,,SON,1659,1645
Deni-523_shitdefecate-1,,Deni,523_shitdefecate,kija,kija,k i j a,,dixon2004proto;carvalho2013analise;carvalho2013fonologia;carvalho2013sobrefonologia;carvalho2018adjective;koop1985dicionario,,,,,DEFECATE,599,1212
Paumari-523_shitdefecate-1,,Paumari,523_shitdefecate,kia,kia,k i a,,dixon2004proto;chapman1998dicionario,,,,,DEFECATE,599,1212
