# Wordlist

# DATA
ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	COGID	COGIDS
1482	Jarawara	be angry	jawa	jawa	j a w a	BE.ANGRY	86	86
1483	Banawa	be angry	jawa	jawa	j a w a	BE.ANGRY	86	86
1484	Jamamadi	be angry	jawa	jawa	j a w a	BE.ANGRY	86	86
#
81	Jarawara	be burnt	hati	hati	h a t i	BE.BURNT	326	326
82	Banawa	be burnt	hati	hati	h a t i	BE.BURNT	326	326
#
44655	Kulina	be cold	siri	siri	s i r i	BE.COLD	173	173
44656	Deni	be cold	shirini	shirini	s h i r i n i	BE.COLD	173	173
44657	Jarawara	be cold	siri	siri	s i r i	BE.COLD	173	173
44658	Banawa	be cold	siri	siri	s i r i	BE.COLD	173	173
44659	Jamamadi	be cold	siri	siri	s i r i	BE.COLD	173	173
#
83	Banawa	be good	amosa	amosa	a m o s a	BE.GOOD	8	8
84	Jamamadi	be good	amosa	amosa	a m o s a	BE.GOOD	8	8
85	Jarawara	be good	amosa	amosa	a m o s a	BE.GOOD	8	8
86	Deni	be good	amoshi	amoshi	a m o s h i	BE.GOOD	8	8
#
88	Jarawara	be hungry	fimiha	fimiha	f i m i h a	BE.HUNGRY	327	327
89	Banawa	be hungry	fimiha	fimiha	f i m i h a	BE.HUNGRY	327	327
90	Jamamadi	be hungry	fimiha	fimiha	f i m i h a	BE.HUNGRY	327	327
91	Kulina	be hungry	pemi	pemi	p e m i	BE.HUNGRY	327	327
92	Deni	be hungry	pemi	pemi	p e m i	BE.HUNGRY	327	327
#
917	Kulina	be ill	kija	kija	k i j a	BE.ILL	5	1212
919	Jarawara	be ill	kija	kija	k i j a	BE.ILL	5	1212
920	Banawa	be ill	kija	kija	k i j a	BE.ILL	5	1212
921	Jamamadi	be ill	kija	kija	k i j a	BE.ILL	5	1212
#
1645	Kulina	be one	ohari	ohari	o h a r i	BE.ONE	684	684
1646	Deni	be one	ohari	ohari	o h a r i	BE.ONE	684	684
1647	Jarawara	be one	ohari	ohari	o h a r i	BE.ONE	684	684
1648	Banawa	be one	ohari	ohari	o h a r i	BE.ONE	684	684
1649	Jamamadi	be one	ohari	ohari	o h a r i	BE.ONE	684	684
#
1349	Kulina	be ripe	hada	hada	h a d a	BE.RIPE	57	57
1350	Deni	be ripe	hada	hada	h a d a	BE.RIPE	57	57
1351	Jarawara	be ripe	hata	hata	h a t a	BE.RIPE	57	57
1352	Banawa	be ripe	hada	hada	h a d a	BE.RIPE	57	57
1353	Jamamadi	be ripe	hada	hada	h a d a	BE.RIPE	57	57
#
95	Deni	beak	bono	bono	b o n o	BEAK	33	33
96	Kulina	beak	bono	bono	b o n o	BEAK	33	33
#
991	Banawa	beat	waka	waka	w a k a	BEAT	223	223
992	Jamamadi	beat	waka	waka	w a k a	BEAT	223	223
993	Jarawara	beat	waka	waka	w a k a	BEAT	223	223
994	Deni	beat	wakha	wakha	w a k h a	BEAT	223	223
995	Kulina	beat	wakha	wakha	w a k h a	BEAT	223	223
996	Deni	beat	baa	baa	b a a	BEAT	212	212
997	Jarawara	beat	baa	baa	b a a	BEAT	212	212
998	Banawa	beat	baa	baa	b a a	BEAT	212	212
999	Jamamadi	beat	baa	baa	b a a	BEAT	212	212
#
98	Kulina	because	hini	hini	h i n i	BECAUSE	179	122
#
1662	Kulina	bed	taboro	taboro	t a b o r o	unknown5	180	408
#
99	Banawa	bee	hiji	hiji	h i j i	BEE	245	245
100	Deni	bee	hiji	hiji	h i j i	BEE	245	245
101	Jamamadi	bee	hiji	hiji	h i j i	BEE	245	245
102	Jarawara	bee	hiji	hiji	h i j i	BEE	245	245
103	Kulina	bee	hiji	hiji	h i j i	BEE	245	245
#
104	Deni	beetle	hijabo	hijabo	h i j a b o	BEETLE	242	242
105	Jamamadi	beetle	hijabo	hijabo	h i j a b o	BEETLE	242	242
106	Jarawara	beetle	hijabo	hijabo	h i j a b o	BEETLE	242	242
107	Kulina	beetle	hijabo	hijabo	h i j a b o	BEETLE	242	242
#
108	Kulina	belch	derere	derere	d e r e r e	BELCH	0	0
